商品Id,商品名称,商品价格,商品Url,评价人数,好评率,中评率,差评率
100011385146,三奇3Q一次性医用外科口罩透气轻薄成人3层医用口罩 1袋10只(非无菌型),25.00,//item.jd.com/100011385146.html,1337659,0.98,0.016,0.004
100011531558,"京东超市	
袋鼠医生（DR.ROOS）医用外科口罩一次性成人男女通用 口罩 10只/包 3层无菌挂耳",30.90,//item.jd.com/100011531558.html,419181,0.99,0.007,0.003
100006979473,京东京造 无菌级一次性医用口罩带熔喷层防护【金属鼻梁夹升级款 】蓝色三层 成人男女通用50只/盒(内含5袋，每袋10只装）,129.00,//item.jd.com/100006979473.html,60453,0.96,0.024,0.016
67813342287,闪电卫士一次性防护口罩 无纺布带熔喷层 全塑鼻梁条 蓝色三层轻薄透气学生成人男女通用 经典款【50片装】,65.90,//item.jd.com/67813342287.html,48425,0.93,0.027,0.043
100006349587,振德 （ZHENDE) 口罩一次性医用口罩男女无纺布内里口罩防尘防柳絮防花粉骑行透气 10只/包  浅蓝,29.80,//item.jd.com/100006349587.html,414035,0.99,0.008,0.002
100012683072,"
MASTO 一次性三层立体防护口罩 轻薄夏季适用防雾霾防尘防花粉成人男女通用款 65枚装",179.00,//item.jd.com/100012683072.html,6497,0.96,0.026,0.014
66712398833,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 20只(2盒10只装),29.80,//item.jd.com/66712398833.html,318744,0.92,0.031,0.049
100011283284,维德（WELLDAY）成人医用口罩一次性无菌防尘防柳絮透气防护 10只（10只*1袋）,23.80,//item.jd.com/100011283284.html,225322,0.96,0.025,0.015
100006954729,"京东超市	
佳佰  一次性口罩 防尘透气防护口鼻罩 出行口罩  蓝色三层盒装 50只/盒",74.90,//item.jd.com/100006954729.html,12214,0.94,0.037,0.023
66740084683,庭七 医用口罩 一次性医用口罩透气成人3层熔喷布防护口罩 一次性医用口罩60个（现货）,109.00,//item.jd.com/66740084683.html,58931,0.97,0.018,0.012
67054104674,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 50只一次性口罩（50只装/盒）,68.90,//item.jd.com/67054104674.html,124943,0.92,0.03,0.05
16227489741,振德（ZHENDE）一次性医用口罩防尘防柳絮防花粉阻菌骑行透气 深蓝浅蓝随机发10只每包 1包,24.90,//item.jd.com/16227489741.html,70336,0.98,0.016,0.004
66232427825,蓝湾贝舒一次性医用口罩舒适透气防粉尘防飞沫成人口罩带溶喷层三层防护学生口罩 五十片口罩,78.00,//item.jd.com/66232427825.html,259959,0.95,0.029,0.021
67628125715,闪电卫士一次性防护口罩 3D立体折叠型 无纺布带熔喷层 白色三层学生成人男女通用 3D立体舒适款【50片装】,79.90,//item.jd.com/67628125715.html,27670,0.94,0.035,0.025
66712398836,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 50只(1盒50只装),68.90,//item.jd.com/66712398836.html,318744,0.92,0.031,0.049
100011880260,"京东超市	
unifree 一次性3D立体口罩3层防护防尘男女成人口罩 30片/盒 大童可用",59.50,//item.jd.com/100011880260.html,121731,0.96,0.026,0.014
100006642343,二月花（FEBFLOWER） 一次性口罩50只装  熔喷布防护口罩防粉尘PM2.5颗粒物透气轻薄过滤防飞沫,99.00,//item.jd.com/100006642343.html,44714,0.94,0.025,0.035
100006662239,"京东超市	
安可新 一次性口罩【50片】三层过滤口鼻罩防尘防风防护罩含熔喷布",109.00,//item.jd.com/100006662239.html,157584,0.98,0.014,0.006
100006750669,中服绿盾 一次性使用医用口罩 成人口罩 防细菌防粉尘防飞沫 50片/盒,109.00,//item.jd.com/100006750669.html,36463,0.97,0.022,0.008
67481234813,惠寻 【京东自有品牌】一次性医用口罩 带熔喷层 全塑鼻梁条 蓝色三层成人男女通用拍下24小时发货 医用口罩【50片装】,99.90,//item.jd.com/67481234813.html,473904,0.96,0.025,0.015
65624145328,昭达觉乐3层成人一次性使用医用口罩（非无菌型）  一袋10片 带熔喷层 防飞沫 蓝色,18.00,//item.jd.com/65624145328.html,111539,0.97,0.018,0.012
100011850456,三奇3Q 高效过滤一次性口罩3层挂耳盒装12枚入-12.5cm儿童口罩小尺寸防护口罩,28.00,//item.jd.com/100011850456.html,1337656,0.98,0.016,0.004
