个性用车,1,1,22,2019年6月8日,四川成都,2019-6-24 21:43:31,此帖已被收录至论坛精选日报-小资情调。更多精彩内容戳这里。自己有辆SMART，个人代步还是很方便，油耗也很低，5个左右，毕竟是1.0的小车，不到一吨重！去年开始想入手一台大点儿的车，毕竟还是会有两个人以上的乘驾需求，原本是关注奔驰的，因为SMART也算是小奔驰嘛，在去年成都国际车展上，无意中领略了雷克萨斯的精致做工，果断被雷车吸引。持续关注了一段时间的NX，汽油版的动力欠点儿意思，而混动版的价格欠点意思，持续关注的这段时间，也是纠结的过程！直到销售顾问建议来看看新出的UX，当第一眼看到UX时，就心动了，试驾试乘之后就已经先入为主了！当然，本着慎重不冲动的态度，货比三家的原则，还是耐心去看了看奔驰GLA，宝马X2，奥迪Q3。GLA无论外观还是内饰千篇一律无个性；X2的内饰感觉和长安比亚迪是一个层次的；奥迪中规中矩的感觉实在难以掩盖我一直以来对其烧机油的偏见，而且这三款车无一例外都是汽油版本，油耗没有优势，所以最后还是回到UX！UX的购车理由:1、全系混动，性价比高，技术成熟可靠。2、内饰精致，这种质感就仿佛十几年前拿着Sony的Walkman跟国产收音机的对比。3、雷克萨斯品牌，质量可靠，全球故障率最低！4、六年15万公里免费保养保修，应该能省下一大笔钱。5、外形很有冲击力，很个性时尚。所以说，选择雷克萨斯UX绝对是理性消费！当然，针对UX的几个版本，本来钟情于运动版，但是从个人角度，移动的仪表盘和一些外观上的东西，要多花2万，不划算，2万块钱够烧两三年油了，所以最后定了探趣版！购车和提车过程都很顺利，新都这边雷克萨斯4S的销售人员和售后服务人员职业素养都很高，在此感谢销售顾问小王的热心接待和耐心解答，这些也是让我顺利成为雷克萨斯车主的原因吧！从订车到提车两个多月吧，目前提车大半个月，开了1300公里，回4S店进行常规检测！不��嗦了，上图！先来个整体图侧面右后侧左后侧正后面开门效果开门效果标志性前脸UX和SMART天窗细节经典控制面板精致的内饰和中控大屏这个最最最牛逼，1300多公里，油耗一直都是4.2-4.3！仪表盘动画科技感十足方向盘细节侧门空间，放杯子很顺手后排其实并不局促扶手箱设计的很舒适中控台层次感分明4S店送的脚垫副驾座位调节整体开门效果后排空间没有想象中那么小，毕竟一年没有几天是坐满的大灯细节，自己给车贴了个眼影后备箱足够用了认真工作的售后服务人员很萌的儿童座椅4S店一角环境很棒，更像是一个茶艺4S环境这个造型很漂亮，中国味儿供客户休息的按摩区电影院这个古香古色的这个是最有感触和共鸣的地方――匠.视界总结一下:1、雷克萨斯UX的油电混动技术非常过硬，提车之前关注UX车友群，很多车友开出了5.几，6.几，甚至有8.几，我很担心这个车的油耗没有官方那么低，结果自己开了1300多公里，油耗没有超过4.3，实在令人赞叹，车自重是SMART的两倍，但是油耗比SMART还低，可见能源管理技术已经做到了极致！2、内饰做工用料非常考究，个人认为UX的内饰设计和做工比NX还要好，还要精致，相比较更有***。3、变速箱换挡非常平顺，据同事（同事刚买了奔驰C200）说，比他的车强很多，有点后悔。4、个人觉得白色车身配黄色座椅更大气些。5、缺点目前我觉得就是不如SMART操控灵活，可能是自己开惯了SMART，还不太适应大车的缘故，开的比较小心，应该是心理作用，再开一阵子就好了。6、雷克萨斯的销售和售后都很专业，很贴心，做事专心，这也是品质的保证。发表些感触:从雷克萨斯成熟的混动技术，到精致的内饰做工；从雷克萨斯可靠的品质，到其员工敬业的工作态度，处处体现了这个品牌的匠心精神，我想也正是源于这种匠心精神，雷克萨斯才敢于做到6年15万公里的免费保养和保修。真心希望国人能够真真正正的学习这种匠心精神，未来的某一天，也许我们就再也不会热衷于雷克萨斯了！,1.0
版主审核团队,0,0,0,2018年3月8日,北京,2019-6-24 22:47:34,"此主帖已经被版主审核团队设为精华帖帖子标题：雷克萨斯UX―匠心之作！（雷克萨斯UX260用车半个月有感）精华理由：精华！",8.334504613061178e-05
个性用车,1,1,22,2019年6月8日,四川成都,2019-6-24 23:20:05,感谢感谢,0.8185007456496505
luhandsome,2,6,212,2013年2月15日,广东中山,2019-6-24 23:35:19,很好,0.7795229979671993
喜羊羊重庆,0,11,401,2017年8月18日,重庆,2019-6-25 08:43:55,ux怕不是全系混动哟！,0.16103277829356621
个性用车,1,1,22,2019年6月8日,四川成都,2019-6-25 12:23:18,UX200不是,0.34527875471283087
fjl5451123,0,3,22,2013年11月29日,天津,2019-6-25 15:08:22,能私信下价格么,0.518521367078762
个性用车,1,1,22,2019年6月8日,四川成都,2019-6-25 19:37:09,就是正常价，没优惠也没有加价,0.615157025810726
个性用车,1,1,22,2019年6月8日,四川成都,2019-6-25 23:17:53,对了，延保优惠了几千,0.24484863030419524
porkCCC,0,23,1031,2017年5月7日,浙江温州,2019-6-26 12:10:27,"下次可以补充购车后的通勤路段.",0.4482098077693767
个性用车,1,1,22,2019年6月8日,四川成都,2019-6-26 14:31:52,补张最新图，油耗再次降低,0.29390941705722995
yytggd,0,0,56,2017年3月25日,广东佛山,2019-6-26 15:27:23,是怎么开到这么低的？我也一千多公里，维持5.5上下,0.2527521375874837
mann20131011,0,64,457,2014年2月27日,重庆,2019-6-26 16:57:11,他发的是单次油耗，要发总的平均油耗才客观,0.0639864401662763
